time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
751,33.78477180,-84.39931270,15,249.10001,0.55829,22,18
1752,33.78477570,-84.39931860,15,249.10001,0.68056,22,19
2804,33.78478130,-84.39932660,15,249.10001,0.73093,22,18
3805,33.78479650,-84.39934580,15,251.00000,1.25972,22,19
4802,33.78479430,-84.39933790,15,251.00000,0.24062,21,17
5803,33.78479320,-84.39933180,15,251.00000,0.15948,22,19
6805,33.78478800,-84.39931610,14,251.00000,0.02089,22,17
7854,33.78478610,-84.39930960,14,251.00000,0.01507,21,20
8863,33.78478970,-84.39931020,13,249.10001,0.02262,22,22
9852,33.78479580,-84.39931730,13,249.10001,0.06160,22,20
10855,33.78479890,-84.39931580,13,249.10001,0.29766,22,20
11861,33.78480180,-84.39930960,13,249.10001,0.52195,22,21
12909,33.78480360,-84.39930020,13,249.10001,0.67770,22,21
13954,33.78480290,-84.39928200,13,249.10001,0.71335,22,21
14959,33.78480570,-84.39928210,12,249.10001,0.72218,22,21
15955,33.78481130,-84.39928070,12,249.10001,0.80091,22,20
16957,33.78481610,-84.39927910,12,249.10001,0.78028,21,20
17959,33.78481440,-84.39928050,12,249.10001,0.74301,22,20
18968,33.78481330,-84.39928110,11,249.10001,0.71307,22,20
19960,33.78480150,-84.39929030,11,249.10001,0.68856,22,21
20952,33.78479620,-84.39929310,11,249.10001,0.68594,22,22
21961,33.78478710,-84.39929750,11,249.10001,0.52104,22,20
22970,33.78477920,-84.39929360,11,249.10001,0.05025,23,20
23967,33.78477650,-84.39929440,10,249.10001,0.00808,23,20
24953,33.78477540,-84.39929900,10,249.10001,0.50184,22,20
25953,33.78477000,-84.39929520,10,249.10001,0.64134,22,19
26953,33.78476540,-84.39928960,10,249.10001,0.75077,22,19
27960,33.78476300,-84.39928720,10,249.10001,0.77419,22,19
28957,33.78475960,-84.39928180,10,251.00000,0.88163,22,20
29958,33.78475670,-84.39927580,10,251.00000,1.02817,22,20
30964,33.78475460,-84.39927090,10,251.00000,1.00776,21,20
32006,33.78475490,-84.39925850,10,251.00000,0.63022,21,20
33006,33.78475850,-84.39925250,10,251.00000,0.58908,21,19
34007,33.78476060,-84.39925490,10,251.00000,0.59729,21,19
35006,33.78476370,-84.39926530,10,251.00000,0.62055,22,20
36053,33.78476640,-84.39927930,11,251.00000,0.77471,22,20
37056,33.78476500,-84.39927770,11,251.00000,0.06746,22,20
38058,33.78476400,-84.39927530,11,251.00000,0.00950,22,20
39053,33.78476290,-84.39927070,10,251.00000,0.23863,21,18
